demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,14,0,14,0,,,,,,pillage,w,g,upper,,,,,,,1,w,HiDemTar,None,h,0,0.5694476789794862,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,15,0,15,0,,,,,,probable,w,g,upper,,,,,,,1,w,HiDemTar,None,h,0,0.7448520557954907,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,16,0,16,0,,,,,,stuggard,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.6403786563314497,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,17,0,17,0,,,,,,ronvince,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.5892325285822153,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,18,0,18,0,,,,,,abraid,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.604486356023699,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,19,0,19,0,,,,,,forgery,w,g,upper,,,,,,,1,w,HiDemTar,None,h,0,0.6028464226983488,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,20,0,20,0,,,,,,numbled,nw,h,upper,,,,,,,1,nw,HiDemTar,None,h,1,0.9688066770322621,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,21,0,21,0,,,,,,typical,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5104785882867873,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,22,0,22,0,,,,,,ebince,nw,h,upper,,,,,,,1,nw,HiDemTar,None,g,0,0.62456248793751,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
,,,,,,,,,,,,,,,,,,,,34,0,34,0,23,0,23,0,,,,,,thesis,w,g,upper,,,,,,,1,w,HiDemTar,None,g,1,0.5418202462606132,None,,,,,,,,,,,,,,,,,,,376,2023-11-09_09h54.26.752,leap3,2022.2.5,59.99473014569988,
