demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,blankQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,15,0,15,0,,,,,,ebince,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5403834744356573,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,16,0,16,0,,,,,,record,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5415875688195229,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,17,0,17,0,,,,,,describe,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.8949504094198346,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,18,0,18,0,,,,,,lawsuit,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.8725794786587358,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,19,0,19,0,,,,,,oppose,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,1.0934071685187519,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,20,0,20,0,,,,,,kilotin,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6329322250094265,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,21,0,21,0,,,,,,eightiech,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.8146087999921292,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,22,0,22,0,,,,,,ezulated,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.7064419137313962,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,23,0,23,0,,,,,,guffy,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6401081252843142,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,24,0,24,0,,,,,,gelented,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,g,0,1.3893949217163026,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,25,0,25,0,,,,,,fraft,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.6206942943390459,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,26,0,26,0,,,,,,persona,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.6502907851245254,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,27,0,27,0,,,,,,misobeyed,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,g,0,0.6705197053961456,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,28,0,28,0,,,,,,gigoho,nw,h,lower,,,,,,,3,nw,LoDemNoTar,None,h,1,0.5464433440938592,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,29,0,29,0,,,,,,sunshine,w,g,lower,,,,,,,3,w,LoDemNoTar,None,g,1,0.5476725997868925,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,0,,,,,,facienda,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.6205906700342894,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,0,1,0,,,,,,chappef,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.5470256928820163,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,2,0,2,0,,,,,,purpose,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.5965293059125543,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,3,0,3,0,,,,,,pastnoss,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.5156758655793965,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,4,0,4,0,,,,,,assent,w,g,upper,,,,,,,2,w,HiDemNoTar,None,h,0,0.5574357968289405,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,5,0,5,0,,,,,,prame,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.5100536677055061,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,6,0,6,0,,,,,,pregs,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.39280757145024836,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,7,0,7,0,,,,,,image,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.47223940561525524,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,8,0,8,0,,,,,,guitar,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.42813981627114117,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,9,0,9,0,,,,,,column,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.49018230102956295,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,10,0,10,0,,,,,,humanize,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.4841535515151918,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,11,0,11,0,,,,,,thorifies,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.5774160849396139,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,12,0,12,0,,,,,,hangar,w,g,upper,,,,,,,2,w,HiDemNoTar,None,h,0,0.5776994791813195,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,13,0,13,0,,,,,,prawls,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,g,0,0.6247578235343099,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,14,0,14,0,,,,,,preclude,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.5667950906790793,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,15,0,15,0,,,,,,egect,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.6233216503169388,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,16,0,16,0,,,,,,brimitar,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.4935108593199402,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,17,0,17,0,,,,,,ethical,w,g,upper,,,,,,,2,w,HiDemNoTar,None,g,1,0.5526985439937562,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,18,0,18,0,,,,,,perishing,w,g,upper,,,,,,,2,w,HiDemNoTar,None,h,0,0.7613353149499744,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,19,0,19,0,,,,,,iolize,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.6340277292765677,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,20,0,20,0,,,,,,olerates,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.4954188042320311,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
,,,,,,,,,,,,,,,,,,,,5,0,5,0,21,0,21,0,,,,,,wrecber,nw,h,upper,,,,,,,2,nw,HiDemNoTar,None,h,1,0.5387162156403065,None,,,,,,,,,,,,,,,,,,,,300,2023-11-09_15h29.50.690,leap3,2022.2.5,60.00299966988878,
