demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,pressedQ_blank,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"19
", FEMALE,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,18,0,18,0,,,,,,undertake,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6524780300678685,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,19,0,19,0,,,,,,bother,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.9451908098999411,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,20,0,20,0,,,,,,grefab,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.6013780831126496,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,21,0,21,0,,,,,,senior,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6480856072157621,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,22,0,22,0,,,,,,carony,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,1.8373974589630961,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,23,0,23,0,,,,,,twarfs,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,0.706670964602381,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,24,0,24,0,,,,,,charcoal,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.7972652879543602,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,25,0,25,0,,,,,,unversed,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6206516792299226,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,26,0,26,0,,,,,,susher,nw,h,upper,,,,,,,2,nw,HiDemNoTar,h,1,1.273472193046473,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,27,0,27,0,,,,,,shimble,nw,h,upper,,,,,,,2,nw,HiDemNoTar,g,0,1.4844271102920175,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,28,0,28,0,,,,,,expired,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,0.6327770238276571,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,29,0,29,0,,,,,,combat,w,g,upper,,,,,,,2,w,HiDemNoTar,g,1,1.0148323831381276,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,decency,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.7006808856967837,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,1,0,,,,,,virulent,w,g,upper,,,,,,,1,w,HiDemTar,g,1,1.5991634592646733,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,2,0,2,0,,,,,,demon,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.662393580423668,,,,,,,,,,,,,,,,,,,354,2023-11-21_09h17.07.259,leap3,2022.2.5,59.997500844092336,
