demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,lateQResp.keys,LDTResp.keys,LDTResp.corr,LDTResp.rt,blankQResp.keys,pressedQ,PM_corr,lateQResp.rt,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",female,American Indian or Alaska Native,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,13,0,13,0,,,,,,sponto,nw,h,lower,,,,,,,2,nw,HiDemNoTar,q,h,1,1.0760815353132784,None,q,,0.0885333358310163,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,14,0,14,0,,,,,,provide,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,1.7042086797300726,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,15,0,15,0,,,,,,plymie,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.7142820875160396,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,16,0,16,0,,,,,,gettle,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.33332207635976374,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,17,0,17,0,,,,,,omission,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.8383551384322345,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,18,0,18,0,,,,,,odacles,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.8181699190754443,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,19,0,19,0,,,,,,flooted,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.7440921175293624,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,20,0,20,0,,,,,,superstar,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,0.8808367981109768,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,21,0,21,0,,,,,,joses,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.8921695887111127,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,22,0,22,0,,,,,,turning,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,1.0549378737341613,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,23,0,23,0,,,,,,acroad,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.890956555493176,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,24,0,24,0,,,,,,minimum,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,1.1816763535607606,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,25,0,25,0,,,,,,professor,w,g,lower,,,,,,,2,w,HiDemNoTar,None,g,1,3.8841547621414065,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
,,,,,,,,,,,,,,,,,,,,10,0,10,0,26,0,26,0,,,,,,priant,nw,h,lower,,,,,,,2,nw,HiDemNoTar,None,h,1,0.7436630532611161,None,,,,,,,,,,,,,,,,,,,301,2023-11-09_16h34.04.648,leap3,2022.2.5,60.06600144450393,
