demoRace_loop.thisRepN,demoRace_loop.thisTrialN,demoRace_loop.thisN,demoRace_loop.thisIndex,LDTunderstand.thisRepN,LDTunderstand.thisTrialN,LDTunderstand.thisN,LDTunderstand.thisIndex,pracBlocks.thisRepN,pracBlocks.thisTrialN,pracBlocks.thisN,pracBlocks.thisIndex,pracTrial.thisRepN,pracTrial.thisTrialN,pracTrial.thisN,pracTrial.thisIndex,PMunderstand.thisRepN,PMunderstand.thisTrialN,PMunderstand.thisN,PMunderstand.thisIndex,LDT_block.thisRepN,LDT_block.thisTrialN,LDT_block.thisN,LDT_block.thisIndex,LDT_trial.thisRepN,LDT_trial.thisTrialN,LDT_trial.thisN,LDT_trial.thisIndex,ageTextbox.text,genderTextbox.text,race,raceResp,LDTunderstand,stim,word_type,corr_key,stim_location,LDTpracKey.keys,LDTpracKey.corr,LDTpracKey.rt,PMunderstand,cueTextbox.text,intentionTextbox.text,block_type,role,block_desc,LDTResp.keys,LDTResp.corr,LDTResp.rt,pressedQ,PM_accuracy,postQ1,Q2Textbox.text,Q3Textbox.text,Q4,Q5,Q6Key.keys,Q6Key.rt,postQ7_correct,postQ7,Q8Textbox.text,education,medTextbox.text,health,healthLimit,psych,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"
20 ",male,American Indian or Alaska Native,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,4,0,4,0,,,,,,budget,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.8076513438427355,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,5,0,5,0,,,,,,beggarlan,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.9569690090720542,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,6,0,6,0,,,,,,ethical,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.9257654375687707,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,7,0,7,0,,,,,,reforest,w,g,upper,,,,,,,1,w,HiDemTar,g,1,1.2393324440345168,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,8,0,8,0,,,,,,glaims,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.9318395903537748,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,9,0,9,0,,,,,,balign,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.9412325976736611,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,10,0,10,0,,,,,,facienda,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.8539652872568695,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,11,0,11,0,,,,,,ralliep,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,1.0819529355067061,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,12,0,12,0,,,,,,demon,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.8772413392871385,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,13,0,13,0,,,,,,advantage,w,g,upper,,,,,,,1,w,HiDemTar,g,1,0.6405579601268983,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,14,0,14,0,,,,,,dolphin,target,q,upper,,,,,,,1,target,HiDemTar,q,1,0.7082423685933463,1,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,15,0,15,0,,,,,,angry,w,g,upper,,,,,,,1,aftertar1,HiDemTar,g,1,0.6062148337368853,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,16,0,16,0,,,,,,gallon,w,g,upper,,,,,,,1,aftertar2,HiDemTar,g,1,0.660251339621027,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,17,0,17,0,,,,,,guivers,nw,h,upper,,,,,,,1,aftertar3,HiDemTar,h,1,1.0403339864860754,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,18,0,18,0,,,,,,draze,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.7250029613060178,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,19,0,19,0,,,,,,audience,w,g,upper,,,,,,,1,nw,HiDemTar,g,1,0.7022545452782651,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,20,0,20,0,,,,,,rascaps,nw,h,upper,,,,,,,1,w,HiDemTar,h,1,0.7443289878283395,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,21,0,21,0,,,,,,living,w,g,upper,,,,,,,1,nw,HiDemTar,g,1,0.8570595644559944,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,22,0,22,0,,,,,,glamorous,w,g,upper,,,,,,,1,w,HiDemTar,g,1,1.3241182352794567,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,23,0,23,0,,,,,,migmarole,nw,h,upper,,,,,,,1,w,HiDemTar,h,1,1.277477990661282,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,24,0,24,0,,,,,,kilotin,nw,h,upper,,,,,,,1,nw,HiDemTar,h,1,0.7288394907518523,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
,,,,,,,,,,,,,,,,,,,,38,0,38,0,25,0,25,0,,,,,,boulder,w,g,upper,,,,,,,1,nw,HiDemTar,g,1,0.7942192649061326,,,,,,,,,,,,,,,,,,380,2023-11-16_09h43.18.340,leap3,2022.2.5,59.992647806616446,
